stationId,usaf,wban,stationName,country,fipsCountry,state,callSign,lat,lon,elevation,begin,end
724234-99999,724234,99999,"LOUISVILLE NEXRAD",US,US,KY,KLVX,37.983,-85.933,254.0,,
724235-13810,724235,13810,"BOWMAN FLD",US,US,KY,KLOU,38.228,-85.664,169.5,19411101,20140313
724235-99999,724235,99999,"BOWMAN FLD",US,US,KY,KLOU,38.217,-85.65,166.0,20000101,20031231
724236-03889,724236,03889,"JACKSON CARROLL ARPT",US,US,KY,KJKL,37.591,-83.314,413.6,19730102,20100731
724237-53803,724237,53803,"OWENSBORO DAVIESS C",US,US,KY,KOWB,37.75,-87.167,123.7,20060101,20140313
724237-99999,724237,99999,"OWENSBORO DAVIESS C",US,US,KY,KOWB,37.733,-87.167,124.0,19730101,20051231
724238-53886,724238,53886,"HENDERSON CITY CO",US,US,KY,KEHR,37.8,-87.683,117.7,20060101,20140313
724238-99999,724238,99999,"HENDERSON CITY CO",US,US,KY,KEHR,37.8,-87.683,118.0,19921008,20051231
724240-13807,724240,13807,"FORT KNOX/GODMAN",US,US,KY,KFTK,37.9,-85.967,237.7,19450301,20140313
724240-99999,724240,99999,"FORT KNOX/GODMAN",US,US,KY,KFTK,37.9,-85.967,230.0,20000101,20041231
724243-03849,724243,03849,"LONDON CORBIN ARPT",US,US,KY,KLOZ,37.087,-84.077,369.1,19910321,20140313
724250-03860,724250,03860,"HUNTINGTON/TRI STAT",US,US,WV,KHTS,38.365,-82.555,255.4,19730101,20140313
724260-99999,724260,99999,"WILMINGTON",US,US,OH,,39.417,-83.817,323.0,,
724270-03804,724270,03804,"OAK RIDGE",US,US,TN,KPKB,39.2,-81.27,263.3,19730101,19850531
